fecha,nombre_estacion,tm_min,tm_max,tm_mes,ta_min,ta_max,p_mes,p_max,q_min,q_max,q_med,q_mar,hr,inso,p_sol,w_med,w_racha,w_rec
2023-03-01,Yecla,5.3,21.5,13.4,-3.9,29.2,0.6,0.6(05),936.5,952.2,944.1,1017.8,45.0,9.5,79.0,13.0,28/21.1(11),282
2023-04-01,Yecla,7.8,25.7,16.8,0.2,33.6,0.0,0.0(--),934.1,949.1,942.2,1014.8,36.0,11.1,84.0,11.0,28/18.9(01),240
2023-05-01,Yecla,10.7,23.7,17.2,6.9,32.7,153.9,39.6(23),937.0,948.8,942.3,1014.8,55.0,7.6,54.0,10.0,02/16.4(13),205
2023-06-01,Yecla,15.6,29.4,22.5,10.4,36.4,30.8,7.8(21),934.7,951.2,942.4,1013.4,55.0,9.7,65.0,9.0,32/16.1(13),181
2023-07-01,Yecla,19.1,36.1,27.6,15.6,41.6,1.2,1.2(20),936.7,949.3,943.4,1012.9,46.0,10.9,75.0,10.0,27/31.1(11),202
2023-08-01,Yecla,18.3,35.6,26.9,13.3,42.5,14.2,9.2(03),935.6,949.5,943.6,1013.5,42.0,11.5,85.0,9.0,31/20.3(27),200
2023-09-01,Yecla,15.5,28.7,22.1,9.5,31.6,22.6,10.2(02),936.2,952.9,944.1,1015.5,61.0,8.7,70.0,9.0,06/19.7(03),209
2023-10-01,Yecla,11.3,25.6,18.5,5.4,32.5,4.8,4.2(19),920.6,954.6,943.2,1015.5,56.0,7.8,69.0,10.0,27/22.2(19),235
2023-11-01,Yecla,7.9,20.1,14.0,0.5,25.4,0.6,0.6(02),927.5,954.1,943.9,1017.6,55.0,8.2,81.0,14.0,28/26.7(10),327
2023-12-01,Yecla,2.7,16.6,9.7,-4.3,25.5,1.0,0.6(05),927.2,962.0,948.4,1023.7,55.0,6.9,73.0,11.0,26/21.4(08),251
2024-01-01,Yecla,4.6,16.2,10.4,0.0,25.9,20.6,9.2(09),931.2,964.0,948.3,1023.3,63.0,5.7,58.0,11.0,26/23.1(05),241
2024-02-01,Yecla,4.6,17.6,11.1,-1.2,23.1,15.8,5.4(09),919.2,960.0,945.4,1020.1,55.0,7.3,68.0,14.0,27/26.1(27),323
2024-03-01,Yecla,6.0,18.7,12.4,0.0,28.6,31.8,8.6(09),921.2,952.4,938.7,1012.4,55.0,7.1,59.0,13.0,26/21.7(10),310
2024-04-01,Yecla,7.0,22.6,14.8,3.3,29.3,9.8,8.4(29),929.7,957.9,943.5,1016.6,45.0,9.5,72.0,11.0,28/19.7(09),224
2024-05-01,Yecla,11.1,26.8,18.9,7.0,35.8,2.6,1.6(31),932.3,948.2,941.2,1013.0,40.0,10.7,75.0,11.0,26/19.7(01),243
2024-06-01,Yecla,15.2,29.2,22.2,11.3,33.5,44.6,17.0(12),933.8,948.8,941.8,1012.8,49.0,10.6,71.0,11.0,27/22.8(08),232
2024-07-01,Yecla,18.7,35.8,27.3,15.3,42.3,4.8,4.8(01),935.0,949.0,942.8,1012.5,40.0,11.4,78.0,11.0,28/18.6(21),218
2024-08-01,Yecla,18.7,34.8,26.8,15.3,42.3,24.8,17.0(14),936.3,947.4,942.5,1012.4,48.0,10.5,77.0,9.0,04/22.5(14),191
2024-09-01,Yecla,15.1,27.5,21.3,8.8,32.2,47.6,19.6(19),933.5,951.4,942.6,1014.1,61.0,8.4,68.0,8.0,99/14.7(26),189
2024-10-01,Yecla,12.0,23.2,17.6,5.7,31.0,30.6,10.4(27),932.8,953.6,943.2,1015.8,63.0,7.1,64.0,11.0,29/21.9(07),255
2024-11-01,Yecla,8.9,19.1,14.0,3.7,23.8,1.2,0.8(13),938.4,954.8,947.5,1021.5,72.0,5.6,55.0,10.0,26/21.4(21),217
2024-12-01,Yecla,2.6,14.9,8.7,-3.5,22.6,6.4,4.2(31),940.4,964.4,951.1,1026.9,62.0,6.7,70.0,10.0,28/23.3(07),233
2025-01-01,Yecla,3.1,14.6,8.9,-5.8,22.7,2.4,1.4(29),933.9,955.1,946.6,1021.9,59.0,6.5,66.0,13.0,26/21.9(27),293
2025-02-01,Yecla,2.8,17.0,9.9,-2.9,23.0,0.8,0.6(01),938.8,957.8,947.0,1022.0,59.0,7.9,74.0,10.0,28/16.7(01),199
2025-03-01,Yecla,6.6,14.7,10.7,1.3,25.2,102.8,35.8(18),922.0,947.7,938.5,1012.7,69.0,5.1,42.0,14.0,28/19.7(12),303
2025-04-01,Yecla,8.2,20.8,14.6,4.2,28.0,9.8,5.4(04),931.6,949.2,941.0,1014.1,56.0,9.0,68.0,13.0,27/21.7(16),284
2025-05-01,Yecla,11.3,25.1,18.2,8.3,34.9,44.0,18.6(10),936.0,951.3,942.6,1014.8,52.0,9.2,64.0,10.0,31/19.7(31),215
2025-06-01,Yecla,17.5,34.2,25.9,12.7,38.0,21.0,19.6(03),938.2,951.9,945.6,1015.8,40.0,11.1,75.0,10.0,03/19.7(17),199
2025-07-01,Yecla,,,,,,,,,,,,,,,,,
2025-08-01,Yecla,,,,,,,,,,,,,,,,,
2025-09-01,Yecla,,,,,,,,,,,,,,,,,
2025-10-01,Yecla,,,,,,,,,,,,,,,,,
2025-11-01,Yecla,,,,,,,,,,,,,,,,,
2025-12-01,Yecla,,,,,,,,,,,,,,,,,
