Fecha medida,Código,Nivel medio diario (m)
2015-02-24,EA-117-TOT,
2015-02-24,EA-430B,
2015-02-25,EA-001,0.480
2015-02-25,EA-007,
2015-02-25,EA-013-TOT,
2015-02-25,EA-021-PR,0.110
2015-02-25,EA-062-TOT,
2015-02-25,EA-063-PR,0.080
2015-02-25,EA-112-TOT,
2015-02-25,EA-117-TOT,
2015-02-25,EA-430B,
2015-02-26,EA-001,0.480
2015-02-26,EA-007,
2015-02-26,EA-013-TOT,
2015-02-26,EA-021-PR,0.100
2015-02-26,EA-062-TOT,
2015-02-26,EA-063-PR,0.050
2015-02-26,EA-112-TOT,
2015-02-26,EA-117-TOT,
2015-02-26,EA-430B,
2015-02-27,EA-001,0.480
2015-02-27,EA-007,
2015-02-27,EA-013-TOT,
2015-02-27,EA-021-PR,0.090
2015-02-27,EA-062-TOT,
2015-02-27,EA-063-PR,0.040
2015-02-27,EA-112-TOT,
2015-02-27,EA-117-TOT,
2015-02-27,EA-430B,
2015-02-28,EA-001,0.480
2015-02-28,EA-007,
2015-02-28,EA-013-TOT,
2015-02-28,EA-021-PR,0.080
2015-02-28,EA-062-TOT,
2015-02-28,EA-063-PR,0.010
2015-02-28,EA-112-TOT,
2015-02-28,EA-117-TOT,
2015-02-28,EA-430B,
2015-03-01,EA-001,0.480
2015-03-01,EA-007,
2015-03-01,EA-013-TOT,
2015-03-01,EA-021-PR,0.060
2015-03-01,EA-062-TOT,
2015-03-01,EA-063-PR,0.010
2015-03-01,EA-112-TOT,
2015-03-01,EA-117-TOT,
2015-03-01,EA-430B,
2015-03-02,EA-001,0.480
2015-03-02,EA-007,
2015-03-02,EA-013-TOT,
2015-03-02,EA-021-PR,0.080
2015-03-02,EA-062-TOT,
2015-03-02,EA-063-PR,0.030
2015-03-02,EA-112-TOT,
2015-03-02,EA-117-TOT,
2015-03-02,EA-430B,
2015-03-03,EA-001,0.480
2015-03-03,EA-007,
2015-03-03,EA-013-TOT,
2015-03-03,EA-021-PR,0.080
2015-03-03,EA-062-TOT,
