fec_medida,codigo,evapor_diaria_m3,desague_diario_m3,altura_diaria_m,superf_diaria_m2,aport_diaria_m3,volumen_diario_m3
2015-02-17,EB-010,3808.0,1382400.0,28.0,2239904.0,1589014.0,19156561.0
2015-02-18,EB-004,0.0,1562112.0,33.0,2619197.0,1716485.0,26063600.0
2015-02-18,EB-006,6161.0,648000.0,56.0,6161198.0,2505125.0,122163778.0
2015-02-18,EB-009,2275.0,129600.0,73.0,14218874.0,868991.0,324444726.0
2015-02-18,EB-010,4051.0,1382400.0,28.0,2250700.0,1566723.0,19336833.0
2015-02-19,EB-004,0.0,1682208.0,33.0,2620223.0,1707937.0,26089329.0
2015-02-19,EB-006,7452.0,648000.0,56.0,6209744.0,2074524.0,123582850.0
2015-02-19,EB-009,31319.0,129600.0,73.0,14235826.0,734233.0,325018040.0
2015-02-19,EB-010,4071.0,1503360.0,29.0,2261496.0,1687703.0,19517105.0
2015-02-20,EB-004,0.0,1635552.0,33.0,2617146.0,1558366.0,26012143.0
2015-02-20,EB-006,9375.0,561600.0,57.0,6249848.0,1743251.0,124755126.0
2015-02-20,EB-009,18523.0,172800.0,73.0,14248540.0,621307.0,325448024.0
2015-02-20,EB-010,3638.0,1434240.0,29.0,2273642.0,1640684.0,19719911.0
2015-02-21,EB-004,0.0,1598400.0,33.0,2613044.0,1495484.0,25909227.0
2015-02-21,EB-006,1818.0,639360.0,57.0,6268845.0,1212829.0,125310415.0
2015-02-21,EB-009,81313.0,129600.0,73.0,14265492.0,784227.0,326021338.0
2015-02-21,EB-010,7078.0,1442016.0,29.0,2283088.0,1606832.0,19877649.0
2015-02-22,EB-004,0.0,1604448.0,33.0,2608942.0,1501533.0,25806312.0
2015-02-22,EB-006,25167.0,604800.0,57.0,6291793.0,1453074.0,126133522.0
2015-02-22,EB-009,101375.0,216000.0,73.0,14278206.0,747359.0,326451322.0
2015-02-22,EB-010,11469.0,1425600.0,29.0,2293885.0,1617341.0,20057921.0
2015-02-23,EB-004,0.0,1607040.0,33.0,2602789.0,1452668.0,25651940.0
2015-02-23,EB-006,25887.0,648000.0,57.0,6313924.0,1500816.0,126960451.0
2015-02-23,EB-009,120079.0,129600.0,73.0,14295158.0,822992.0,327024635.0
2015-02-23,EB-010,10608.0,1404864.0,29.0,2306030.0,1618278.0,20260727.0
2015-02-24,EB-004,0.0,1555200.0,33.0,2597661.0,1426556.0,25523296.0
