"Fec. medida","Código","Evapor. diaria (m³)","Desagüe diario (m³)","Altura diaria (m)","Superf. diaria (m2)","Aport. diaria (m³)","Volumen diario (m³)"
"22/02/2015","EB-004","0","1.604.448","33","2.608.942","1.501.533","25.806.312"
"22/02/2015","EB-006","25.167","604.800","57","6.291.793","1.453.074","126.133.522"
"22/02/2015","EB-009","101.375","216.000","73","14.278.206","747.359","326.451.322"
"22/02/2015","EB-010","11.469","1.425.600","29","2.293.885","1.617.341","20.057.921"
"23/02/2015","EB-004","0","1.607.040","33","2.602.789","1.452.668","25.651.940"
"23/02/2015","EB-006","25.887","648.000","57","6.313.924","1.500.816","126.960.451"
"23/02/2015","EB-009","120.079","129.600","73","14.295.158","822.992","327.024.635"
"23/02/2015","EB-010","10.608","1.404.864","29","2.306.030","1.618.278","20.260.727"
"24/02/2015","EB-004","0","1.555.200","33","2.597.661","1.426.556","25.523.296"
"24/02/2015","EB-006","31.013","604.800","57","6.329.246","1.208.302","127.532.940"
"24/02/2015","EB-009","121.617","216.000","73","14.307.872","767.602","327.454.620"
"24/02/2015","EB-010","13.708","1.260.576","29","2.323.409","1.569.842","20.556.285"
"25/02/2015","EB-004","0","1.555.200","33","2.591.508","1.400.827","25.368.923"
"25/02/2015","EB-006","22.822","604.800","57","6.339.460","1.009.281","127.914.599"
"25/02/2015","EB-009","110.269","216.000","73","14.320.586","756.254","327.884.605"
"25/02/2015","EB-010","11.927","1.270.080","29","2.338.612","1.568.114","20.842.392"
"26/02/2015","EB-004","10.341","1.512.000","33","2.585.355","1.367.968","25.214.550"
"26/02/2015","EB-006","19.679","665.280","57","6.347.972","1.003.009","128.232.649"
"26/02/2015","EB-009","100.363","138.240","74","14.337.538","811.916","328.457.918"
"26/02/2015","EB-010","11.998","1.251.072","29","2.352.548","1.525.334","21.104.656"
"27/02/2015","EB-004","0","1.641.600","33","2.573.049","1.332.855","24.905.805"
"27/02/2015","EB-006","21.618","691.200","57","6.358.187","1.094.477","128.614.308"
"27/02/2015","EB-009","106.255","129.600","74","14.358.728","952.497","329.174.560"
"27/02/2015","EB-010","13.002","1.428.192","29","2.363.950","1.655.774","21.319.236"
"28/02/2015","EB-004","0","1.686.528","32","2.558.692","1.326.325","24.545.602"
"28/02/2015","EB-006","22.926","682.560","57","6.368.401","1.087.145","128.995.967"
