"Fecha medida","Código","Nivel medio diario (m)"
"21/02/2015","EA-021-PR","0,09"
"21/02/2015","EA-062-TOT",""
"21/02/2015","EA-063-PR","0,00"
"21/02/2015","EA-112-TOT",""
"21/02/2015","EA-117-TOT",""
"21/02/2015","EA-430B",""
"22/02/2015","EA-001","0,48"
"22/02/2015","EA-007",""
"22/02/2015","EA-013-TOT",""
"22/02/2015","EA-021-PR","0,09"
"22/02/2015","EA-062-TOT",""
"22/02/2015","EA-063-PR","0,00"
"22/02/2015","EA-112-TOT",""
"22/02/2015","EA-117-TOT",""
"22/02/2015","EA-430B",""
"23/02/2015","EA-001","0,48"
"23/02/2015","EA-007",""
"23/02/2015","EA-013-TOT",""
"23/02/2015","EA-021-PR","0,08"
"23/02/2015","EA-062-TOT",""
"23/02/2015","EA-063-PR","0,00"
"23/02/2015","EA-112-TOT",""
"23/02/2015","EA-117-TOT",""
"23/02/2015","EA-430B",""
"24/02/2015","EA-001","0,48"
"24/02/2015","EA-007",""
"24/02/2015","EA-013-TOT",""
"24/02/2015","EA-021-PR","0,08"
"24/02/2015","EA-062-TOT",""
"24/02/2015","EA-063-PR","0,00"
"24/02/2015","EA-112-TOT",""
"24/02/2015","EA-117-TOT",""
"24/02/2015","EA-430B",""
"25/02/2015","EA-001","0,48"
"25/02/2015","EA-007",""
"25/02/2015","EA-013-TOT",""
"25/02/2015","EA-021-PR","0,11"
"25/02/2015","EA-062-TOT",""
"25/02/2015","EA-063-PR","0,08"
"25/02/2015","EA-112-TOT",""
"25/02/2015","EA-117-TOT",""
"25/02/2015","EA-430B",""
"26/02/2015","EA-001","0,48"
"26/02/2015","EA-007",""
"26/02/2015","EA-013-TOT",""
"26/02/2015","EA-021-PR","0,10"
"26/02/2015","EA-062-TOT",""
"26/02/2015","EA-063-PR","0,05"
"26/02/2015","EA-112-TOT",""
"26/02/2015","EA-117-TOT",""
"26/02/2015","EA-430B",""
"27/02/2015","EA-001","0,48"
"27/02/2015","EA-007",""
"27/02/2015","EA-013-TOT",""
"27/02/2015","EA-021-PR","0,09"
"27/02/2015","EA-062-TOT",""
"27/02/2015","EA-063-PR","0,04"
"27/02/2015","EA-112-TOT",""
"27/02/2015","EA-117-TOT",""
"27/02/2015","EA-430B",""
"28/02/2015","EA-001","0,48"
"28/02/2015","EA-007",""
"28/02/2015","EA-013-TOT",""
"28/02/2015","EA-021-PR","0,08"
"28/02/2015","EA-062-TOT",""
"28/02/2015","EA-063-PR","0,01"
"28/02/2015","EA-112-TOT",""
"28/02/2015","EA-117-TOT",""
"28/02/2015","EA-430B",""
"01/03/2015","EA-001","0,48"
"01/03/2015","EA-007",""
"01/03/2015","EA-013-TOT",""
"01/03/2015","EA-021-PR","0,06"
"01/03/2015","EA-062-TOT",""
"01/03/2015","EA-063-PR","0,01"
"01/03/2015","EA-112-TOT",""
"01/03/2015","EA-117-TOT",""
"01/03/2015","EA-430B",""
"02/03/2015","EA-001","0,48"
"02/03/2015","EA-007",""
"02/03/2015","EA-013-TOT",""
"02/03/2015","EA-021-PR","0,08"
"02/03/2015","EA-062-TOT",""
"02/03/2015","EA-063-PR","0,03"
"02/03/2015","EA-112-TOT",""
"02/03/2015","EA-117-TOT",""
"02/03/2015","EA-430B",""
"03/03/2015","EA-001","0,48"
"03/03/2015","EA-007",""
"03/03/2015","EA-013-TOT",""
"03/03/2015","EA-021-PR","0,08"
"03/03/2015","EA-062-TOT",""
"03/03/2015","EA-063-PR","0,04"
"03/03/2015","EA-112-TOT",""
"03/03/2015","EA-117-TOT",""
"03/03/2015","EA-430B",""
"04/03/2015","EA-001","0,48"
"04/03/2015","EA-007",""
"04/03/2015","EA-013-TOT",""
"04/03/2015","EA-021-PR","0,09"
"04/03/2015","EA-062-TOT",""
"04/03/2015","EA-063-PR","0,03"
"04/03/2015","EA-112-TOT",""
"04/03/2015","EA-117-TOT",""
"04/03/2015","EA-430B",""
"05/03/2015","EA-001","0,48"
"05/03/2015","EA-007",""
"05/03/2015","EA-013-TOT",""
"05/03/2015","EA-021-PR","0,09"
"05/03/2015","EA-062-TOT",""
"05/03/2015","EA-063-PR","0,03"
"05/03/2015","EA-112-TOT",""
"05/03/2015","EA-117-TOT",""
"05/03/2015","EA-430B",""
"06/03/2015","EA-001","0,48"
"06/03/2015","EA-007",""
"06/03/2015","EA-013-TOT",""
"06/03/2015","EA-021-PR","0,10"
"06/03/2015","EA-062-TOT",""
"06/03/2015","EA-063-PR","0,02"
"06/03/2015","EA-112-TOT",""
"06/03/2015","EA-117-TOT",""
"06/03/2015","EA-430B",""
"07/03/2015","EA-001","0,37"
"07/03/2015","EA-007",""
"07/03/2015","EA-013-TOT",""
"07/03/2015","EA-021-PR","0,07"
"07/03/2015","EA-062-TOT",""
"07/03/2015","EA-063-PR","0,02"
"07/03/2015","EA-112-TOT",""
"07/03/2015","EA-117-TOT",""
"07/03/2015","EA-430B",""
"08/03/2015","EA-001","0,42"
"08/03/2015","EA-007",""
"08/03/2015","EA-013-TOT",""
"08/03/2015","EA-021-PR","0,07"
"08/03/2015","EA-062-TOT",""
"08/03/2015","EA-063-PR","0,11"
"08/03/2015","EA-112-TOT",""
"08/03/2015","EA-117-TOT",""
"08/03/2015","EA-430B",""
"09/03/2015","EA-001","0,48"
"09/03/2015","EA-007",""
"09/03/2015","EA-013-TOT",""
"09/03/2015","EA-021-PR","0,13"
"09/03/2015","EA-062-TOT",""
"09/03/2015","EA-063-PR","0,13"
"09/03/2015","EA-112-TOT",""
"09/03/2015","EA-117-TOT",""
"09/03/2015","EA-430B",""
"10/03/2015","EA-001","0,48"
"10/03/2015","EA-007",""
"10/03/2015","EA-013-TOT",""
"10/03/2015","EA-021-PR","0,13"
"10/03/2015","EA-062-TOT",""
"10/03/2015","EA-063-PR","0,16"
"10/03/2015","EA-112-TOT",""
"10/03/2015","EA-117-TOT",""
"10/03/2015","EA-430B",""
"11/03/2015","EA-001","0,48"
"11/03/2015","EA-007",""
"11/03/2015","EA-013-TOT",""
"11/03/2015","EA-021-PR","0,14"
"11/03/2015","EA-062-TOT",""
"11/03/2015","EA-063-PR","0,14"
"11/03/2015","EA-112-TOT",""
"11/03/2015","EA-117-TOT",""
"11/03/2015","EA-430B",""
"12/03/2015","EA-001","0,48"
"12/03/2015","EA-007",""
"12/03/2015","EA-013-TOT",""
"12/03/2015","EA-021-PR","0,15"
"12/03/2015","EA-062-TOT",""
"12/03/2015","EA-063-PR","0,19"
"12/03/2015","EA-112-TOT",""
"12/03/2015","EA-117-TOT",""
"12/03/2015","EA-430B",""
"13/03/2015","EA-001","0,48"
"13/03/2015","EA-007",""
"13/03/2015","EA-013-TOT",""
"13/03/2015","EA-021-PR","0,15"
"13/03/2015","EA-062-TOT",""
"13/03/2015","EA-063-PR","0,20"
"13/03/2015","EA-112-TOT",""
"13/03/2015","EA-117-TOT",""
"13/03/2015","EA-430B",""
"14/03/2015","EA-001","0,48"
"14/03/2015","EA-007",""
"14/03/2015","EA-013-TOT",""
"14/03/2015","EA-021-PR","0,14"
"14/03/2015","EA-062-TOT",""
"14/03/2015","EA-063-PR","0,19"
"14/03/2015","EA-112-TOT",""
"14/03/2015","EA-117-TOT",""
"14/03/2015","EA-430B",""
"15/03/2015","EA-001","0,48"
"15/03/2015","EA-007",""
"15/03/2015","EA-013-TOT",""
"15/03/2015","EA-021-PR","0,13"
"15/03/2015","EA-062-TOT",""
"15/03/2015","EA-063-PR","0,19"
"15/03/2015","EA-112-TOT",""
"15/03/2015","EA-117-TOT",""
"15/03/2015","EA-430B",""
"16/03/2015","EA-001","0,41"
"16/03/2015","EA-007",""
"16/03/2015","EA-013-TOT",""
"16/03/2015","EA-021-PR","0,13"
"16/03/2015","EA-062-TOT",""
"16/03/2015","EA-063-PR","0,19"
"16/03/2015","EA-112-TOT",""
"16/03/2015","EA-117-TOT",""
"16/03/2015","EA-430B",""
"17/03/2015","EA-001","0,44"
"17/03/2015","EA-007",""
"17/03/2015","EA-013-TOT",""
"17/03/2015","EA-021-PR","0,14"
