indicativo,p_max,n_cub,hr,n_gra,n_fog,inso,q_max,nw_55,q_mar,q_med,tm_min,ta_max,ts_min,nt_30,nv_0050,n_des,w_racha,np_100,n_nub,p_sol,nw_91,np_001,ta_min,e,np_300,nv_1000,evap,p_mes,n_llu,n_tor,nt_00,ti_max,n_nie,tm_mes,tm_max,nv_0100,q_min,np_010,fecha,anio,mes,w_med,w_rec
7228,39.6,8.0,73.0,0.0,0.0,5.3,1026.3,1.0,1019.8,1010.7,7.1,24.8,13.6,0.0,0.0,6.0,09/16.1(03),1.0,17.0,56.0,0.0,4.0,1.8,108.0,1.0,0.0,832.0,47.3,4.0,0.0,0.0,11.8,0.0,12.8,18.4,0.0,993.2,3.0,2019-12-01,2019,12,,166
7228,37.7,7.0,74.0,0.0,1.0,6.4,1025.4,1.0,1025.6,1016.4,3.7,22.2,9.1,0.0,0.0,9.0,03/16.9(19),3.0,15.0,65.0,0.0,4.0,-1.6,94.0,1.0,0.0,634.0,80.5,5.0,1.0,6.0,8.6,0.0,10.1,16.5,0.0,1003.7,4.0,2020-01-01,2020,1,,141
7228,1.8,3.0,67.0,0.0,3.0,7.7,1027.2,0.0,1026.0,1016.9,6.8,27.0,10.5,0.0,0.0,10.0,02/12.5(01),0.0,16.0,71.0,0.0,2.0,1.8,109.0,0.0,3.0,808.0,2.1,2.0,0.0,0.0,15.0,0.0,14.3,21.7,0.0,1003.4,1.0,2020-02-01,2020,2,,161
7228,68.3,15.0,64.0,0.0,0.0,5.9,1018.0,3.0,1017.0,1008.1,9.0,31.5,12.6,1.0,0.0,0.0,32/22.2(02),3.0,14.0,50.0,0.0,9.0,4.7,107.0,2.0,0.0,1358.0,138.6,10.0,0.0,0.0,12.0,0.0,15.1,21.1,0.0,996.2,8.0,2020-03-01,2020,3,11,218
7228,10.0,11.0,66.0,0.0,1.0,6.6,1017.9,0.0,1015.9,1007.0,10.8,28.2,14.5,0.0,0.0,1.0,35/12.5(20),1.0,16.0,50.0,0.0,11.0,6.4,129.0,0.0,1.0,1113.0,35.6,12.0,3.0,0.0,16.5,0.0,16.5,22.1,0.0,995.6,8.0,2020-04-01,2020,4,,171
7228,15.8,6.0,51.0,0.0,0.0,10.6,1018.4,1.0,1016.5,1007.8,14.0,34.8,16.2,11.0,0.0,7.0,34/15.6(10),1.0,18.0,75.0,0.0,3.0,9.8,143.0,0.0,0.0,2004.0,23.0,6.0,2.0,0.0,21.1,0.0,21.5,28.8,0.0,995.9,3.0,2020-05-01,2020,5,,194
7228,15.1,1.0,47.0,0.0,0.0,11.8,1013.2,1.0,1013.9,1005.3,17.2,36.5,20.5,27.0,0.0,12.0,20/16.1(04),1.0,17.0,80.0,0.0,4.0,14.4,163.0,0.0,0.0,2374.0,24.4,4.0,2.0,0.0,23.9,0.0,24.7,32.1,0.0,993.9,3.0,2020-06-01,2020,6,,224
7228,2.3,0.0,50.0,0.0,0.0,11.9,1012.8,0.0,1015.2,1006.7,20.4,39.5,22.7,30.0,0.0,21.0,10/13.9(12),0.0,10.0,82.0,0.0,3.0,18.2,201.0,0.0,0.0,2591.0,4.7,3.0,2.0,0.0,28.6,0.0,27.6,34.7,0.0,1000.9,2.0,2020-07-01,2020,7,,236
7228,3.6,0.0,46.0,0.0,1.0,11.2,1010.9,0.0,1013.1,1004.6,20.8,42.0,25.6,29.0,0.0,15.0,24/14.4(01),0.0,16.0,83.0,0.0,2.0,15.5,186.0,0.0,0.0,2707.0,3.7,2.0,2.0,0.0,29.2,0.0,28.5,36.1,0.0,992.7,1.0,2020-08-01,2020,8,,217
7228,3.0,0.0,54.0,0.0,0.0,8.4,1016.1,1.0,1016.8,1008.2,17.0,34.5,21.5,22.0,0.0,8.0,32/18.1(24),0.0,22.0,68.0,0.0,3.0,12.2,165.0,0.0,0.0,1965.0,5.9,3.0,0.0,0.0,25.6,0.0,24.0,30.9,0.0,1002.3,2.0,2020-09-01,2020,9,,194
